raw_file_id,survey_id,raw_source,archive_path,inner_name,file_size,platform,ingested_at
raw_0001,tally_w5k75d,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Ваш опыт использования электрозарядных станций_ Опрос владельцев электромобилей [w5k75d].csv,tally_export/Ваш опыт использования электрозарядных станций_ Опрос владельцев электромобилей [w5k75d].csv,675673,Tally,2026-06-04T02:24:16
raw_0002,tally_3Ex5xX,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Исследование работодателей рынка недвижимости [3Ex5xX].csv,tally_export/Исследование работодателей рынка недвижимости [3Ex5xX].csv,325142,Tally,2026-06-04T02:24:16
raw_0003,tally_mZ6Rp0,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Внешняя анкета - факторы выбора работодателя [mZ6Rp0].csv,tally_export/Внешняя анкета - факторы выбора работодателя [mZ6Rp0].csv,1213931,Tally,2026-06-04T02:24:16
raw_0004,tally_mO05EK,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Опрос про автомобили (Тамбов) [mO05EK].csv,tally_export/Опрос про автомобили (Тамбов) [mO05EK].csv,2122138,Tally,2026-06-04T02:24:16
raw_0005,tally_mYWglz,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Анкета клиентов Печорин [mYWglz].csv,tally_export/Анкета клиентов Печорин [mYWglz].csv,1979470,Tally,2026-06-04T02:24:16
raw_0006,tally_wdAOjN,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/ФФ. Анкета количественного исследования. [wdAOjN].csv,tally_export/ФФ. Анкета количественного исследования. [wdAOjN].csv,434259,Tally,2026-06-04T02:24:16
raw_0007,tally_mKLDog,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Анкета о предпочтениях в выборе ПК_услуг_периферии [mKLDog].csv,tally_export/Анкета о предпочтениях в выборе ПК_услуг_периферии [mKLDog].csv,474142,Tally,2026-06-04T02:24:16
raw_0008,tally_wg9kZl,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Анкета для количественного исследования РусАгроПром [wg9kZl].csv,tally_export/Анкета для количественного исследования РусАгроПром [wg9kZl].csv,1937702,Tally,2026-06-04T02:24:16
raw_0009,tally_mRPA74,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Анкета для опроса _Альтмед+_ [mRPA74].csv,tally_export/Анкета для опроса _Альтмед+_ [mRPA74].csv,1250814,Tally,2026-06-04T02:24:17
raw_0010,tally_wvPDzA,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/ЭТАЖИ. Внутренний опрос. [wvPDzA].csv,tally_export/ЭТАЖИ. Внутренний опрос. [wvPDzA].csv,238721,Tally,2026-06-04T02:24:17
raw_0011,tally_wM5zyg,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Опрос про автомобили (Ставрополь) [wM5zyg].csv,tally_export/Опрос про автомобили (Ставрополь) [wM5zyg].csv,2006720,Tally,2026-06-04T02:24:17
raw_0012,tally_3yy174,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Сибагро. Опрос внутренний [3yy174].csv,tally_export/Сибагро. Опрос внутренний [3yy174].csv,3034009,Tally,2026-06-04T02:24:17
raw_0013,tally_wzZb98,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Анкета для опроса клиентов магазинов бытовой техники (Регионы) [wzZb98].csv,tally_export/Анкета для опроса клиентов магазинов бытовой техники (Регионы) [wzZb98].csv,2268032,Tally,2026-06-04T02:24:17
raw_0014,tally_3NXzGp,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Потребительские предпочтения в выборе сыров (офлайн) FINAL [3NXzGp].csv,tally_export/Потребительские предпочтения в выборе сыров (офлайн) FINAL [3NXzGp].csv,1351058,Tally,2026-06-04T02:24:17
raw_0015,tally_3E0QYq,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Опрос про автомобили (Липецк) [3E0QYq].csv,tally_export/Опрос про автомобили (Липецк) [3E0QYq].csv,2091757,Tally,2026-06-04T02:24:17
raw_0016,tally_3y2jV8,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/DMC анкета опросов (6) [3y2jV8].csv,tally_export/DMC анкета опросов (6) [3y2jV8].csv,820474,Tally,2026-06-04T02:24:17
raw_0017,tally_3XWL74,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Главстрой Санкт-Петербург. Внутренний опрос. [3XWL74].csv,tally_export/Главстрой Санкт-Петербург. Внутренний опрос. [3XWL74].csv,3126706,Tally,2026-06-04T02:24:17
raw_0018,tally_me60Nl,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Русский продукт. Магадан - Количественное исследование [me60Nl].csv,tally_export/Русский продукт. Магадан - Количественное исследование [me60Nl].csv,2942341,Tally,2026-06-04T02:24:17
raw_0019,tally_w2Go1L,/var/folders/y7/z20t7xkd2w7_cy1_ksrzxwxh0000gn/T/tally_export.zip,tally_export/Кинекст [w2Go1L].csv,tally_export/Кинекст [w2Go1L].csv,1339394,Tally,2026-06-04T02:24:17
